session_id,nt_count,trans2_count,duration,label
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_42575.0,0,0,0.041467,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_42893.0,0,0,0.023697,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_4444.0,0,0,21.777764,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_44679.0,0,0,0.014841,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_44979.0,0,0,0.034886,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_45111.0,0,0,0.05603,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_46025.0,0,0,0.062896,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.184_192.168.138.181_135.0,0,0,0.000512,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.184_192.168.138.181_445.0,1,2,11.567736,1
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.184_192.168.138.181_49163.0,0,0,21.777878,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.1_192.168.138.255_nan,0,0,29.988131,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.1_239.255.255.250_nan,0,0,23.182792,0
../data/processed/csv/attack\attacktraffic13.csv_nan_nan_nan,0,0,22.993126,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.181_192.168.138.184_33417.0,0,0,0.001003,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.181_192.168.138.184_34001.0,0,1,0.95479,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.181_192.168.138.184_39843.0,1,8,10.075322,1
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.181_192.168.138.184_4444.0,0,0,110.508585,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.181_192.168.138.2_nan,0,0,3.092376,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.181_196.49.100.58_nan,0,0,97.249888,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.184_192.168.138.181_135.0,0,0,0.000713,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.184_192.168.138.181_445.0,1,1,11.444389,1
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.184_192.168.138.181_49249.0,0,0,110.465459,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.184_192.168.138.255_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.184_192.168.138.2_nan,0,0,3.023049,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.1_192.168.138.255_nan,0,0,90.075168,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.1_224.0.0.251_nan,0,0,4.991779,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.1_239.255.255.250_nan,0,0,123.064805,0
../data/processed/csv/attack\attacktraffic14.csv_192.168.138.2_192.168.138.181_nan,0,0,1.01878,0
../data/processed/csv/attack\attacktraffic14.csv_196.49.100.58_192.168.138.181_nan,0,0,97.023131,0
../data/processed/csv/attack\attacktraffic14.csv_nan_nan_nan,0,0,79.922084,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.181_192.168.138.187_35301.0,0,0,0.000631,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.181_192.168.138.187_35961.0,0,1,0.90535,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.181_192.168.138.187_38265.0,1,7,10.127473,1
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.181_192.168.138.187_4444.0,0,0,13.915574,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.181_192.168.138.1_80.0,0,0,0.508868,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.187_192.168.138.181_135.0,0,0,0.000469,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.187_192.168.138.181_445.0,1,1,11.446233,1
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.187_192.168.138.181_49160.0,0,0,13.915446,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.187_192.168.138.1_80.0,0,0,0.508496,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.187_192.168.138.2_nan,0,0,1.5265659999999999,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.1_192.168.138.181_63680.0,0,0,0.508863,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.1_192.168.138.187_63686.0,0,0,0.508399,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.1_192.168.138.255_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic15.csv_192.168.138.1_239.255.255.250_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic15.csv_nan_nan_nan,0,0,12.512623,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_34721.0,0,1,0.947489,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_35059.0,0,0,0.025623,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_35619.0,0,0,0.072766,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_36183.0,0,0,0.064468,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_36595.0,0,0,0.067135,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_36935.0,0,0,0.049634,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_40099.0,0,0,0.021998,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_40391.0,1,8,10.175455,1
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_40815.0,0,0,0.007299,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_41937.0,0,0,0.037197,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_42367.0,0,0,0.069417,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_42481.0,0,0,0.014368,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_42657.0,0,0,0.013572,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_43013.0,0,0,0.079698,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_43163.0,0,0,0.009281,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_43191.0,0,0,0.075449,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_43397.0,0,0,0.030846,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_44115.0,0,0,0.01438,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_44407.0,0,0,0.000619,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_4444.0,0,0,36.312526,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_45279.0,0,0,0.010961,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_45477.0,0,0,0.043256,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_46185.0,0,0,0.008723,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_192.168.138.184_46363.0,0,0,0.057109,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.181_196.10.55.58_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.184_192.168.138.181_135.0,0,0,0.00044,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.184_192.168.138.181_445.0,1,2,11.537543,1
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.184_192.168.138.181_49159.0,0,0,36.312511,0
../data/processed/csv/attack\attacktraffic16.csv_192.168.138.184_192.168.138.255_nan,0,0,19.070998,0
